	AMR	est_counts	sid
40	MEG_6816|Drugs|betalactams|Class_A_betalactamases|TEM	796.0	Sample_13
41	MEG_2828|Drugs|MLS|23S_rRNA_methyltransferases|ERMF	85.0	Sample_13
42	MEG_6773|Drugs|betalactams|Class_A_betalactamases|TEM	72.0	Sample_13
43	MEG_7182|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ	2084.0	Sample_13
44	MEG_4100|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|MUXA	1080.0	Sample_13
45	MEG_1554|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CAT	162.0	Sample_13
46	MEG_6654|Metals|Copper_resistance|Copper_resistance_protein|TCRZ	97.0	Sample_13
47	MEG_3990|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation	10281.0	Sample_13
48	MEG_6173|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|SDEB	2164.0	Sample_13
49	MEG_7137|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM	327.0	Sample_13
50	MEG_7305|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation	4331.0	Sample_13
51	MEG_6881|Drugs|betalactams|Class_A_betalactamases|TEM	9463.0	Sample_13
52	MEG_3619|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUF	221.0	Sample_13
53	MEG_4|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation	19596.0	Sample_13
54	MEG_3918|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MEXL	304.0	Sample_13
55	MEG_3606|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUA	409.0	Sample_13
56	MEG_6828|Drugs|betalactams|Class_A_betalactamases|TEM	80.0	Sample_13
57	MEG_1198|Drugs|Cationic_antimicrobial_peptides|Polymyxin_B_resistance_regulator|BASRS	840.0	Sample_13
58	MEG_1001|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6	257.0	Sample_13
59	MEG_6815|Drugs|betalactams|Class_A_betalactamases|TEM	76.0	Sample_13
60	MEG_5357|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation	1145.0	Sample_13
61	MEG_1192|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAER	276.0	Sample_13
62	MEG_2051|Metals|Copper_resistance|Copper_resistance_protein|COPD	265.0	Sample_13
63	MEG_3648|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|LSAE	1143.0	Sample_13
64	MEG_7114|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM	268.0	Sample_13
65	MEG_6752|Drugs|betalactams|Class_A_betalactamases|TEM	72.0	Sample_13
66	MEG_2654|Metals|Copper_resistance|Copper_resistance_protein|DNAK	2503.0	Sample_13
67	MEG_6836|Drugs|betalactams|Class_A_betalactamases|TEM	75.0	Sample_13
68	MEG_6908|Drugs|betalactams|Class_A_betalactamases|TEM	2160.0	Sample_13
69	MEG_6617|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII	36.0	Sample_13
70	MEG_7270|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|TRGB	735.0	Sample_13
71	MEG_2845|Drugs|MLS|23S_rRNA_methyltransferases|ERMS	502.0	Sample_13
72	MEG_7256|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|TLRC	4164.0	Sample_13
73	MEG_3977|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation	28037.0	Sample_13
74	MEG_4073|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRD	840.0	Sample_13
75	MEG_7213|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	158.0	Sample_13
76	MEG_7133|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM	275.0	Sample_13
77	MEG_1460|Drugs|Glycopeptides|Bleomycin_resistance_protein|BLE	39.0	Sample_13
78	MEG_7139|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM	427.0	Sample_13
79	MEG_6951|Drugs|betalactams|Class_A_betalactamases|TEM	76.0	Sample_13
80	MEG_6857|Drugs|betalactams|Class_A_betalactamases|TEM	552.0	Sample_13
81	MEG_6895|Drugs|betalactams|Class_A_betalactamases|TEM	478.0	Sample_13
82	MEG_6751|Drugs|betalactams|Class_A_betalactamases|TEM	378.0	Sample_13
83	MEG_2652|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|DMER	144.0	Sample_13
84	MEG_6660|Drugs|betalactams|Class_A_betalactamases|TEM	302.0	Sample_13
85	MEG_7314|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation	4966.0	Sample_13
86	MEG_3226|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	2938.0	Sample_13
87	MEG_7107|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM	216.0	Sample_13
88	MEG_7143|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM	148.0	Sample_13
89	MEG_6909|Drugs|betalactams|Class_A_betalactamases|TEM	47138.0	Sample_13
90	MEG_7211|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	114.0	Sample_13
91	MEG_3809|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA	184.0	Sample_13
92	MEG_6794|Drugs|betalactams|Class_A_betalactamases|TEM	45.0	Sample_13
93	MEG_7157|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	103.0	Sample_13
94	MEG_3450|Drugs|Aminoglycosides|16S_rRNA_methyltransferases|KGMB	304.0	Sample_13
95	MEG_6919|Drugs|betalactams|Class_A_betalactamases|TEM	13476.0	Sample_13
96	MEG_6692|Drugs|betalactams|Class_A_betalactamases|TEM	852.0	Sample_13
97	MEG_1287|Drugs|betalactams|Penicillin_binding_protein_regulator|BLAI	278.0	Sample_13
98	MEG_6811|Drugs|betalactams|Class_A_betalactamases|TEM	7178.0	Sample_13
99	MEG_7170|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	112.0	Sample_13
100	MEG_6541|Biocides|Peroxide_resistance|peroxide_resistance_protein|SODA	537.0	Sample_13
101	MEG_6799|Drugs|betalactams|Class_A_betalactamases|TEM	248.0	Sample_13
102	MEG_7175|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	68.0	Sample_13
103	MEG_7232|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	403.0	Sample_13
104	MEG_7225|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	269.0	Sample_13
105	MEG_7622|Drugs|MLS|Streptogramin_A_O-acetyltransferase|VATB	532.0	Sample_13
106	MEG_6143|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|RPSJ|RequiresSNPConfirmation	94.0	Sample_13
107	MEG_6742|Drugs|betalactams|Class_A_betalactamases|TEM	56.0	Sample_13
108	MEG_3857|Metals|Mercury_resistance|Mercury_resistance_protein|MERC	219.0	Sample_13
109	MEG_2050|Metals|Copper_resistance|Copper_resistance_protein|COPC	164.0	Sample_13
110	MEG_6896|Drugs|betalactams|Class_A_betalactamases|TEM	76.0	Sample_13
111	MEG_6910|Drugs|betalactams|Class_A_betalactamases|TEM	516.0	Sample_13
112	MEG_4078|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_regulator|MTRAD	271.0	Sample_13
113	MEG_6144|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RPSL|RequiresSNPConfirmation	1253.0	Sample_13
114	MEG_2965|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation	555.0	Sample_13
115	MEG_7302|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation	2115.0	Sample_13
116	MEG_7031|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA	235.0	Sample_13
117	MEG_7230|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	142.0	Sample_13
118	MEG_12|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation	4306.0	Sample_13
119	MEG_6882|Drugs|betalactams|Class_A_betalactamases|TEM	682.0	Sample_13
120	MEG_411|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRR|RequiresSNPConfirmation	126.0	Sample_13
121	MEG_5814|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTB	1018.0	Sample_13
122	MEG_7152|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	90.0	Sample_13
123	MEG_1459|Drugs|Glycopeptides|Bleomycin_resistance_protein|BLE	210.0	Sample_13
124	MEG_2973|Drugs|Fosfomycin|Fosfomycin_phosphorylation|FOMA	522.0	Sample_13
125	MEG_6893|Drugs|betalactams|Class_A_betalactamases|TEM	4101.0	Sample_13
126	MEG_2726|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRBSM	708.0	Sample_13
127	MEG_941|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME	20.0	Sample_13
128	MEG_3978|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation	28260.0	Sample_13
129	MEG_5396|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARY	2706.0	Sample_13
130	MEG_6890|Drugs|betalactams|Class_A_betalactamases|TEM	636.0	Sample_13
131	MEG_7202|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETT	1339.0	Sample_13
132	MEG_6529|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|SME	1327.0	Sample_13
133	MEG_6670|Drugs|betalactams|Class_A_betalactamases|TEM	69.0	Sample_13
134	MEG_4276|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|OLEC	1798.0	Sample_13
135	MEG_6997|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET44	1003.0	Sample_13
136	MEG_6|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation	26657.0	Sample_13
137	MEG_1170|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSP	918.0	Sample_13
138	MEG_4750|Drugs|betalactams|Class_D_betalactamases|OXA	865.0	Sample_13
139	MEG_3837|Metals|Mercury_resistance|Mercury_resistance_protein|MERA	461.0	Sample_13
140	MEG_6166|Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT	86.0	Sample_13
141	MEG_7186|Drugs|Tetracyclines|Tetracycline_transcriptional_repressor|TETR|RequiresSNPConfirmation	78.0	Sample_13
142	MEG_881|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME	47.0	Sample_13
143	MEG_7106|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM	113.0	Sample_13
144	MEG_5339|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation	2229.0	Sample_13
145	MEG_4748|Drugs|betalactams|Class_D_betalactamases|OXA	656.0	Sample_13
146	MEG_7318|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation	4865.0	Sample_13
147	MEG_6661|Drugs|betalactams|Class_A_betalactamases|TEM	1246.0	Sample_13
148	MEG_6987|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET39	101.0	Sample_13
149	MEG_2786|Drugs|MLS|23S_rRNA_methyltransferases|ERMA	120.0	Sample_13
150	MEG_6134|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation	1763.0	Sample_13
151	MEG_3435|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|IRLR	149.0	Sample_13
152	MEG_4075|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRE	520.0	Sample_13
153	MEG_3611|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUC	705.0	Sample_13
154	MEG_7221|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	237.0	Sample_13
155	MEG_6701|Drugs|betalactams|Class_A_betalactamases|TEM	65.0	Sample_13
156	MEG_6718|Drugs|betalactams|Class_A_betalactamases|TEM	543.0	Sample_13
157	MEG_7179|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ	1068.0	Sample_13
158	MEG_3617|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUF	71.0	Sample_13
159	MEG_7014|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA	708.0	Sample_13
160	MEG_6145|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSA|RequiresSNPConfirmation	23561.0	Sample_13
161	MEG_6625|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII	43.0	Sample_13
162	MEG_7154|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	111.0	Sample_13
163	MEG_6699|Drugs|betalactams|Class_A_betalactamases|TEM	1013.0	Sample_13
164	MEG_3830|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFE	675.0	Sample_13
165	MEG_3820|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA	147.0	Sample_13
166	MEG_7149|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	78.0	Sample_13
167	MEG_6138|Drugs|Glycopeptides|Vancomycin-resistant_mutation|RPOC|RequiresSNPConfirmation	7860.0	Sample_13
168	MEG_3616|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUF	56.0	Sample_13
169	MEG_6675|Drugs|betalactams|Class_A_betalactamases|TEM	359.0	Sample_13
170	MEG_6931|Drugs|betalactams|Class_A_betalactamases|TEM	1940.0	Sample_13
171	MEG_7242|Drugs|Tetracyclines|Tetracycline_inactivation_enzymes|TETX	170.0	Sample_13
172	MEG_2770|Drugs|MLS|23S_rRNA_methyltransferases|ERM	380.0	Sample_13
173	MEG_1692|Drugs|betalactams|Class_A_betalactamases|CFX	297.0	Sample_13
174	MEG_5386|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation	1220.0	Sample_13
175	MEG_6894|Drugs|betalactams|Class_A_betalactamases|TEM	3191.0	Sample_13
176	MEG_3613|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUF	130.0	Sample_13
177	MEG_6632|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII	41.0	Sample_13
178	MEG_3240|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRB|RequiresSNPConfirmation	2855.0	Sample_13
179	MEG_6969|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET32	173.0	Sample_13
180	MEG_1687|Drugs|betalactams|Class_A_betalactamases|CFX	192.0	Sample_13
181	MEG_6689|Drugs|betalactams|Class_A_betalactamases|TEM	969.0	Sample_13
182	MEG_6523|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|SME	1198.0	Sample_13
183	MEG_5856|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|QACR	440.0	Sample_13
184	MEG_6897|Drugs|betalactams|Class_A_betalactamases|TEM	131.0	Sample_13
185	MEG_6659|Drugs|betalactams|Class_A_betalactamases|TEM	38829.0	Sample_13
186	MEG_6527|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|SME	2353.0	Sample_13
187	MEG_4223|Drugs|Oxazolidinone|Oxazolidinone-resistant_23S_rRNA_mutation|O23S|RequiresSNPConfirmation	107456.0	Sample_13
188	MEG_2756|Drugs|MLS|23S_rRNA_methyltransferases|ERM	454.0	Sample_13
189	MEG_3987|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation	18632.0	Sample_13
190	MEG_3988|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation	132371.0	Sample_13
191	MEG_4214|Drugs|Aminocoumarins|Aminocoumarin_efflux_pump|NOVA	1251.0	Sample_13
192	MEG_6139|Drugs|Lipopeptides|Daptomycin-resistant_beta-subunit_of_RNA_polymerase_RpoC|RPOCL|RequiresSNPConfirmation	9172.0	Sample_13
193	MEG_998|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6	1174.0	Sample_13
194	MEG_7112|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM	459.0	Sample_13
195	MEG_1555|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CAT	214.0	Sample_13
196	MEG_7153|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	76.0	Sample_13
197	MEG_4074|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRD	844.0	Sample_13
198	MEG_3250|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|GYRBA|RequiresSNPConfirmation	1502.0	Sample_13
199	MEG_3296|Drugs|Mupirocin|Mupirocin-resistant_isoleucyl-tRNA_synthetase|ILES|RequiresSNPConfirmation	1884.0	Sample_13
200	MEG_3897|Metals|Mercury_resistance|Mercury_resistance_protein|MERT	75.0	Sample_13
201	MEG_6710|Drugs|betalactams|Class_A_betalactamases|TEM	54.0	Sample_13
202	MEG_7321|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation	2294.0	Sample_13
203	MEG_1009|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME	650.0	Sample_13
204	MEG_1691|Drugs|betalactams|Class_A_betalactamases|CFX	201.0	Sample_13
205	MEG_732|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|AMRB	2027.0	Sample_13
206	MEG_3819|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA	222.0	Sample_13
207	MEG_823|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME	40.0	Sample_13
208	MEG_7171|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	206.0	Sample_13
209	MEG_7470|Drugs|Glycopeptides|VanC-type_regulator|VANRC	461.0	Sample_13
210	MEG_7311|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation	1328.0	Sample_13
211	MEG_1091|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6	33.0	Sample_13
212	MEG_994|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6	226.0	Sample_13
213	MEG_1688|Drugs|betalactams|Class_A_betalactamases|CFX	166.0	Sample_13
214	MEG_6104|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation	9142.0	Sample_13
215	MEG_7257|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|TLRCM	2901.0	Sample_13
216	MEG_996|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6	176.0	Sample_13
217	MEG_3992|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation	80311.0	Sample_13
218	MEG_3842|Metals|Mercury_resistance|Mercury_resistance_protein|MERA	704.0	Sample_13
219	MEG_3980|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation	9395.0	Sample_13
220	MEG_3621|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUP	550.0	Sample_13
221	MEG_3979|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation	17785.0	Sample_13
222	MEG_7301|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation	1451.0	Sample_13
223	MEG_7688|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|VGAB	1533.0	Sample_13
224	MEG_7233|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	200.0	Sample_13
225	MEG_7312|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation	2396.0	Sample_13
226	MEG_5255|Drugs|betalactams|Class_D_betalactamases|OXA	73.0	Sample_13
227	MEG_3814|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA	333.0	Sample_13
228	MEG_6727|Drugs|betalactams|Class_A_betalactamases|TEM	79.0	Sample_13
229	MEG_7303|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation	5599.0	Sample_13
230	MEG_7217|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	138.0	Sample_13
231	MEG_3071|Drugs|Fusidic_acid|Fusidic_acid-resistant_mutation|FUSE|RequiresSNPConfirmation	531.0	Sample_13
232	MEG_6964|Drugs|Tetracyclines|Tetracycline-resistant_16S_ribosomal_subunit_protein|TET16S|RequiresSNPConfirmation	26308.0	Sample_13
233	MEG_2454|Metals|Copper_resistance|Copper_resistance_protein|CUTA	46.0	Sample_13
234	MEG_1178|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARST	615.0	Sample_13
235	MEG_1197|Drugs|Cationic_antimicrobial_peptides|Polymyxin_B_resistance_regulator|BASRS|RequiresSNPConfirmation	576.0	Sample_13
236	MEG_7104|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM	61.0	Sample_13
237	MEG_2022|Metals|Copper_resistance|Copper_resistance_protein|COPA	344.0	Sample_13
238	MEG_6525|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|SME	844.0	Sample_13
239	MEG_6932|Drugs|betalactams|Class_A_betalactamases|TEM	691.0	Sample_13
240	MEG_6614|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI	11.0	Sample_13
241	MEG_6700|Drugs|betalactams|Class_A_betalactamases|TEM	357.0	Sample_13
242	MEG_6948|Drugs|betalactams|Class_A_betalactamases|TEM	471.0	Sample_13
